,date,vega,vega1,vega2,vega3,vega4
57,20180329,-7602.332300599998,-2339.2646999999997,0.0,-4079.8611005999974,-1183.2065000000011
58,20180330,-7112.606637999985,-1957.4182999999987,0.0,-4060.6730379999863,-1094.5153000000003
59,20180402,-6689.4596805500005,-1796.8219000000006,0.0,-3899.6645805499993,-992.9732
60,20180403,-6042.547447549999,-1415.12052,0.0,-3839.0532275499986,-788.3736999999998
61,20180404,-5884.767634749987,-1359.7535199999993,0.0,-3838.5231147499894,-686.4909999999979
62,20180409,-5809.566473750005,-1245.6477599999998,0.0,-3880.1286137500047,-683.7900999999997
63,20180410,-5059.361699450001,358.7326399999994,0.0,-4194.5460394500005,-1223.548299999999
64,20180411,-5179.321787199999,370.9629399999999,0.0,-4173.280627199999,-1377.0041
65,20180412,-4872.322294699995,169.3586399999998,0.0,-4074.044934699995,-967.6360000000002
66,20180413,-4842.427708849998,-154.25107999999977,0.0,-3960.1680288499992,-728.0085999999997
67,20180416,-3971.9670206500004,-265.34141999999997,0.0,-3374.820000650001,-331.80559999999986
68,20180417,-3060.3721673000014,-58.901710000000094,0.0,-3015.1984573000013,13.727999999999952
69,20180418,-3609.814725600001,-314.08187,0.0,-3185.278555600001,-110.45430000000039
70,20180419,-4658.9190002500045,-916.1861296,0.0,-3561.781170650005,-180.95169999999956
71,20180420,-4239.941655540005,-511.92057824,0.0,-2476.686677300005,-1251.3343999999997
72,20180423,-3760.2653309400025,-457.6339792399999,0.0,-2140.4271517000025,-1162.2042000000001
73,20180424,-5403.190043892685,8.476205807310002,0.0,-3638.9615496999954,-1772.7046999999998
74,20180425,-4748.199348499996,4.101394e-30,0.0,-3234.530348499996,-1513.6689999999999
75,20180426,-3216.449549849995,0.0,-2112.8918498499957,-1103.5576999999994,0.0
76,20180427,-2607.6201843499985,0.0,-1682.875984349998,-924.7442000000005,0.0
77,20180502,-2711.388985250005,0.0,-1769.4483852500043,-941.9406000000008,0.0
78,20180503,-2964.9760102999953,0.0,-1875.9557102999968,-1089.0202999999988,0.0
79,20180504,-2165.4372209500007,0.0,-1218.2619209500012,-947.1752999999994,0.0
80,20180507,-4154.841626599999,0.0,-3079.510826599999,-1075.3307999999997,0.0
81,20180508,-8020.896818150002,0.0,-2854.9269181500017,-5165.9699,0.0
82,20180509,-2406.0037727549966,89.56299999999999,-1609.6050727549966,-885.9616999999997,0.0
83,20180510,-4011.5987535149966,-1434.7520000000002,-2358.3611535149967,-218.48559999999964,0.0
84,20180511,-5258.890685694997,-2035.0417500000003,-3232.5865356949967,8.737599999999716,0.0
85,20180514,-4196.729487435001,-1189.73387,-3390.1471174350013,383.15150000000034,0.0
86,20180515,-2964.770296430009,-768.3869299999992,-3119.8453664300096,923.462,0.0
87,20180516,-8005.571881304998,-606.7603000000001,-3566.4709813049985,137.9611000000009,-3970.3017000000004
88,20180517,-8733.90002347,-442.2415000000001,-3312.0434234699997,-198.79149999999942,-4780.8236
89,20180518,-1735.7572128249997,-776.1619800000002,-204.6894328250006,-359.01489999999905,-395.8908999999999
90,20180521,-3977.552526924996,-685.04997,2.9986430750049067,-1154.521400000001,-2140.9798
91,20180522,-1639.193641804994,-265.5678365,-652.521005304995,600.4554000000012,-1321.5602000000001
92,20180523,-8347.960697410002,0.0,-51.032297410002116,-1863.1602999999993,-6433.7681
93,20180524,-4568.532244177495,641.5296558225059,0.0,-1282.174300000001,-3927.8876
94,20180525,-8111.296038849996,-275.44473884999854,-448.3719000000003,-4619.868599999998,-2767.6108
95,20180528,-3478.449009305001,-208.6294093049977,-1805.9855999999997,-976.2480000000019,-487.5860000000014
96,20180529,-2637.5750325049985,909.1528674950008,-1223.0827000000006,-1864.7140999999992,-458.9310999999991
97,20180530,-6367.929770959996,1888.7459290400031,-2460.8909,-3041.492199999999,-2754.2926000000007
98,20180531,-2939.815100210001,-790.0974002099996,-886.0155000000002,-818.8887000000013,-444.8135
99,20180601,-2138.782756224995,-237.10715622499777,-898.1468999999998,-587.8616999999977,-415.6669999999997
