,date,cum_profit_0_-0.1,cum_profit_0_0,cum_profit_0_0.1,cum_profit_0_0.2,cum_profit_0_0.3,cum_profit_0.05_-0.1,cum_profit_0.05_0,cum_profit_0.05_0.1,cum_profit_0.05_0.2,cum_profit_0.05_0.3,cum_profit_0.1_-0.1,cum_profit_0.1_0,cum_profit_0.1_0.1,cum_profit_0.1_0.2,cum_profit_0.1_0.3,cum_profit_0.15_-0.1,cum_profit_0.15_0,cum_profit_0.15_0.1,cum_profit_0.15_0.2,cum_profit_0.15_0.3,cum_profit_0.2_-0.1,cum_profit_0.2_0,cum_profit_0.2_0.1,cum_profit_0.2_0.2,cum_profit_0.2_0.3
49,2018-02-09,95.0331,96.4703,97.9074,99.3446,100.7818,92.3774,93.8146,95.2518,96.689,98.1262,89.7218,91.159,92.5961,94.0333,95.4705,87.0661,88.5033,89.9405,91.3777,92.8149,99.1204,100.5524,101.9844,103.4164,104.8484
50,2018-02-12,91.7309,93.1926,94.6543,96.116,97.5777,89.0301,90.4919,91.9536,93.4153,94.877,86.3294,87.7912,89.2529,90.7146,92.1763,83.6287,85.0904,86.5522,88.0139,89.4756,94.7709,96.2314,97.6919,99.1525,100.613
51,2018-02-13,91.4836,92.9739,94.4643,95.9546,97.4449,88.7335,90.2238,91.7142,93.2045,94.6948,85.9834,87.4738,88.9641,90.4544,91.9447,83.2333,84.7237,86.214,87.7043,89.1947,94.4778,95.9643,97.4508,98.9372,100.4237
52,2018-02-14,88.2661,89.7653,91.2644,92.7635,94.2627,85.5004,86.9995,88.4986,89.9978,91.4969,82.7346,84.2337,85.7329,87.232,88.7312,79.9688,81.468,82.9671,84.4663,85.9654,91.4094,92.9041,94.3988,95.8935,97.3883
53,2018-02-22,87.8571,89.3595,90.8619,92.3643,93.8667,85.0847,86.5871,88.0895,89.5918,91.0942,82.3122,83.8146,85.317,86.8194,88.3218,79.5397,81.0421,82.5445,84.0469,85.5493,91.1209,92.618,94.1152,95.6123,97.1094
54,2018-02-23,87.6951,89.1983,90.7015,92.2047,93.7079,84.9207,86.4239,87.9271,89.4303,90.9335,82.1463,83.6495,85.1527,86.6559,88.1591,79.3718,80.875,82.3782,83.8814,85.3846,90.9741,92.4719,93.9697,95.4675,96.9653
55,2018-02-26,87.6951,89.1983,90.7015,92.2047,93.7079,84.9207,86.4239,87.9271,89.4303,90.9335,82.1463,83.6495,85.1527,86.6559,88.1591,79.3718,80.875,82.3782,83.8814,85.3846,90.9741,92.4719,93.9697,95.4675,96.9653
56,2018-02-27,87.3461,88.8493,90.3526,91.8558,93.3591,84.5701,86.0734,87.5766,89.0799,90.5831,81.7942,83.2974,84.8007,86.3039,87.8072,79.0183,80.5215,82.0247,83.528,85.0312,90.7833,92.2812,93.779,95.2768,96.7746
57,2018-02-28,87.3461,88.8493,90.3526,91.8558,93.3591,84.5701,86.0734,87.5766,89.0799,90.5831,81.7942,83.2974,84.8007,86.3039,87.8072,79.0183,80.5215,82.0247,83.528,85.0312,90.7833,92.2812,93.779,95.2768,96.7746
58,2018-03-01,87.4352,88.9441,90.4529,91.9618,93.4706,84.651,86.1598,87.6687,89.1775,90.6863,81.8667,83.3756,84.8844,86.3933,87.9021,79.0825,80.5913,82.1002,83.609,85.1178,90.8392,92.3427,93.8461,95.3495,96.8529
