,date,cum_profit_0_-0.1,cum_profit_0_0,cum_profit_0_0.1,cum_profit_0_0.2,cum_profit_0_0.3,cum_profit_0.05_-0.1,cum_profit_0.05_0,cum_profit_0.05_0.1,cum_profit_0.05_0.2,cum_profit_0.05_0.3,cum_profit_0.1_-0.1,cum_profit_0.1_0,cum_profit_0.1_0.1,cum_profit_0.1_0.2,cum_profit_0.1_0.3,cum_profit_0.15_-0.1,cum_profit_0.15_0,cum_profit_0.15_0.1,cum_profit_0.15_0.2,cum_profit_0.15_0.3,cum_profit_0.2_-0.1,cum_profit_0.2_0,cum_profit_0.2_0.1,cum_profit_0.2_0.2,cum_profit_0.2_0.3
48,2018-02-08,118.5462,119.9187,121.2912,122.6637,124.0361,115.9478,117.3203,118.6928,120.0652,121.4377,113.3494,114.7218,116.0943,117.4668,118.8393,110.7509,112.1234,113.4959,114.8684,116.2408,108.1525,109.525,110.8974,112.2699,113.6424
49,2018-02-09,110.2746,111.7065,113.1384,114.5703,116.0022,107.4838,108.9157,110.3476,111.7795,113.2114,104.693,106.1249,107.5567,108.9886,110.4205,101.9021,103.334,104.7659,106.1978,107.6297,99.1113,100.5432,101.9751,103.407,104.8388
50,2018-02-12,106.1644,107.6248,109.0852,110.5457,112.0061,103.3138,104.7743,106.2347,107.6951,109.1555,100.4633,101.9237,103.3841,104.8445,106.305,97.6127,99.0731,100.5336,101.994,103.4544,94.7622,96.2226,97.683,99.1434,100.6038
51,2018-02-13,106.0431,107.5295,109.0158,110.5022,111.9885,103.1496,104.636,106.1223,107.6087,109.095,100.2562,101.7425,103.2288,104.7152,106.2015,97.3627,98.849,100.3354,101.8217,103.308,94.4692,95.9555,97.4419,98.9282,100.4145
52,2018-02-14,103.033,104.5276,106.0222,107.5168,109.0114,100.125,101.6196,103.1142,104.6088,106.1034,97.217,98.7116,100.2062,101.7008,103.1954,94.309,95.8036,97.2982,98.7928,100.2874,91.401,92.8956,94.3902,95.8848,97.3794
53,2018-02-22,102.7634,104.2604,105.7574,107.2544,108.7515,99.8507,101.3477,102.8447,104.3417,105.8387,96.938,98.435,99.932,101.429,102.926,94.0253,95.5223,97.0193,98.5163,100.0133,91.1125,92.6095,94.1066,95.6036,97.1006
54,2018-02-23,102.6231,104.1208,105.6184,107.1161,108.6138,99.7088,101.2064,102.7041,104.2018,105.6995,96.7944,98.2921,99.7898,101.2875,102.7852,93.8801,95.3778,96.8755,98.3732,99.8708,90.9658,92.4635,93.9612,95.4588,96.9565
55,2018-02-26,102.6231,104.1208,105.6184,107.1161,108.6138,99.7088,101.2064,102.7041,104.2018,105.6995,96.7944,98.2921,99.7898,101.2875,102.7852,93.8801,95.3778,96.8755,98.3732,99.8708,90.9658,92.4635,93.9612,95.4588,96.9565
56,2018-02-27,102.4352,103.9329,105.4306,106.9283,108.426,99.5201,101.0178,102.5155,104.0132,105.5109,96.6051,98.1028,99.6005,101.0982,102.5959,93.6901,95.1878,96.6855,98.1832,99.6809,90.775,92.2727,93.7704,95.2681,96.7658
57,2018-02-28,102.4352,103.9329,105.4306,106.9283,108.426,99.5201,101.0178,102.5155,104.0132,105.5109,96.6051,98.1028,99.6005,101.0982,102.5959,93.6901,95.1878,96.6855,98.1832,99.6809,90.775,92.2727,93.7704,95.2681,96.7658
