,date,start_price,close_price
254,2018-01-16,3.0365,3.0645
255,2018-01-17,3.0706,3.0715
256,2018-01-18,3.0985,3.1075
257,2018-01-19,3.1215,3.1135
258,2018-01-22,3.106,3.1305
259,2018-01-23,3.1455,3.1725
260,2018-01-24,3.1826,3.1715
261,2018-01-25,3.1701,3.1505
262,2018-01-26,3.1455,3.1715
263,2018-01-29,3.183,3.1145
264,2018-01-30,3.1324,3.0745
265,2018-01-31,3.0655,3.1125
266,2018-02-01,3.1145,3.1345
267,2018-02-02,3.1095,3.1455
268,2018-02-05,3.1005,3.1805
269,2018-02-06,3.1494,3.1085
270,2018-02-07,3.16,3.0215
271,2018-02-08,3.0263,2.9375
272,2018-02-09,2.8849,2.8025
273,2018-02-12,2.7866,2.7995
274,2018-02-13,2.8285,2.8475
275,2018-02-14,2.857,2.8655
276,2018-02-22,2.911,2.9245
277,2018-02-23,2.9335,2.9555
278,2018-02-26,2.9695,2.9655
279,2018-02-27,2.9735,2.9175
280,2018-02-28,2.8975,2.8705
281,2018-03-01,2.8743,2.8835
282,2018-03-02,2.8918,2.8555
283,2018-03-05,2.8585,2.8545
284,2018-03-06,2.8755,2.8885
285,2018-03-07,2.8875,2.8695
286,2018-03-08,2.8735,2.8935
287,2018-03-09,2.9005,2.9035
288,2018-03-12,2.938,2.9055
289,2018-03-13,2.9055,2.8725
290,2018-03-14,2.855,2.8625
291,2018-03-15,2.8555,2.8905
292,2018-03-16,2.8905,2.8625
293,2018-03-19,2.864,2.8925
294,2018-03-20,2.888,2.8945
295,2018-03-21,2.909,2.8845
296,2018-03-22,2.8855,2.8565
297,2018-03-23,2.7795,2.7805
298,2018-03-26,2.7345,2.7325
299,2018-03-27,2.7285,2.7375
300,2018-03-28,2.7095,2.6865
301,2018-03-29,2.6692,2.7325
302,2018-03-30,2.7306,2.7145
303,2018-04-02,2.711,2.7015
304,2018-04-03,2.6825,2.6915
305,2018-04-04,2.7025,2.6955
306,2018-04-09,2.6985,2.7085
307,2018-04-10,2.7135,2.7735
308,2018-04-11,2.7804,2.7755
309,2018-04-12,2.7755,2.7425
310,2018-04-13,2.7555,2.7195
311,2018-04-16,2.7075,2.6585
312,2018-04-17,2.6623,2.628
313,2018-04-18,2.6585,2.6435
314,2018-04-19,2.6525,2.6745
315,2018-04-23,2.6375,2.6565
316,2018-04-24,2.6625,2.7175
317,2018-04-25,2.7025,2.6935
318,2018-04-26,2.6959,2.6545
319,2018-04-27,2.6667,2.6425
320,2018-05-02,2.6515,2.6455
321,2018-05-03,2.6385,2.6535
322,2018-05-04,2.649,2.6335
323,2018-05-07,2.6425,2.6745
324,2018-05-08,2.6755,2.7145
325,2018-05-09,2.7115,2.711
326,2018-05-10,2.7155,2.7235
