,expiry,date,strike,id,type,path,is_atm
83,20170628,20170104,2200,10000830,P,E:/Pycharm/data/option_data\20170628\20170104\2200\10000830P\10000830vols_data.csv,0
84,20170125,20170105,2250,10000749,C,E:/Pycharm/data/option_data\20170125\20170105\2250\10000749C\10000749vols_data.csv,0
85,20170125,20170105,2300,10000777,C,E:/Pycharm/data/option_data\20170125\20170105\2300\10000777C\10000777vols_data.csv,1
86,20170125,20170105,2350,10000778,C,E:/Pycharm/data/option_data\20170125\20170105\2350\10000778C\10000778vols_data.csv,0
87,20170125,20170105,2400,10000779,C,E:/Pycharm/data/option_data\20170125\20170105\2400\10000779C\10000779vols_data.csv,0
88,20170125,20170105,2450,10000780,C,E:/Pycharm/data/option_data\20170125\20170105\2450\10000780C\10000780vols_data.csv,0
89,20170125,20170105,2500,10000781,C,E:/Pycharm/data/option_data\20170125\20170105\2500\10000781C\10000781vols_data.csv,0
90,20170125,20170105,2200,10000825,C,E:/Pycharm/data/option_data\20170125\20170105\2200\10000825C\10000825vols_data.csv,0
91,20170125,20170105,2250,10000754,P,E:/Pycharm/data/option_data\20170125\20170105\2250\10000754P\10000754vols_data.csv,0
92,20170125,20170105,2300,10000782,P,E:/Pycharm/data/option_data\20170125\20170105\2300\10000782P\10000782vols_data.csv,1
93,20170125,20170105,2350,10000783,P,E:/Pycharm/data/option_data\20170125\20170105\2350\10000783P\10000783vols_data.csv,0
94,20170125,20170105,2200,10000826,P,E:/Pycharm/data/option_data\20170125\20170105\2200\10000826P\10000826vols_data.csv,0
95,20170222,20170105,2200,10000831,C,E:/Pycharm/data/option_data\20170222\20170105\2200\10000831C\10000831vols_data.csv,0
96,20170222,20170105,2250,10000832,C,E:/Pycharm/data/option_data\20170222\20170105\2250\10000832C\10000832vols_data.csv,0
97,20170222,20170105,2300,10000833,C,E:/Pycharm/data/option_data\20170222\20170105\2300\10000833C\10000833vols_data.csv,1
98,20170222,20170105,2350,10000834,C,E:/Pycharm/data/option_data\20170222\20170105\2350\10000834C\10000834vols_data.csv,0
99,20170222,20170105,2400,10000835,C,E:/Pycharm/data/option_data\20170222\20170105\2400\10000835C\10000835vols_data.csv,0
100,20170222,20170105,2450,10000841,C,E:/Pycharm/data/option_data\20170222\20170105\2450\10000841C\10000841vols_data.csv,0
101,20170222,20170105,2200,10000836,P,E:/Pycharm/data/option_data\20170222\20170105\2200\10000836P\10000836vols_data.csv,0
102,20170222,20170105,2250,10000837,P,E:/Pycharm/data/option_data\20170222\20170105\2250\10000837P\10000837vols_data.csv,0
103,20170222,20170105,2300,10000838,P,E:/Pycharm/data/option_data\20170222\20170105\2300\10000838P\10000838vols_data.csv,1
