,date,corr
92,2017-05-23,0.3835682118544212
93,2017-05-24,-0.0660892682781795
94,2017-05-25,0.5227252044620627
95,2017-05-26,0.43277910831463434
96,2017-05-31,0.4771811466681505
97,2017-06-01,0.7991101426508966
98,2017-06-02,0.23463557000342672
99,2017-06-05,0.6009923171313032
100,2017-06-06,0.48798113668302234
101,2017-06-07,0.4411161405907007
102,2017-06-08,-0.38586486786679164
103,2017-06-09,0.6927033581671131
104,2017-06-12,0.9500744390060282
105,2017-06-13,0.6759411565615724
106,2017-06-14,0.7368634790759011
107,2017-06-15,0.4905625985912273
108,2017-06-16,0.32917152719434645
109,2017-06-19,0.4524891193617701
110,2017-06-20,-0.12121874099090314
111,2017-06-21,-0.33358974398841196
112,2017-06-22,0.8786419827877875
113,2017-06-23,-0.27613020285128187
114,2017-06-26,0.387563808922716
115,2017-06-27,-0.7356518876993596
116,2017-06-28,0.16843398702081055
117,2017-06-29,0.9427730021601934
118,2017-06-30,-0.36056116540946
119,2017-07-03,0.7145895442403452
120,2017-07-04,0.7711678838953756
121,2017-07-05,0.7657325345255355
122,2017-07-06,-0.25686144380789006
123,2017-07-07,0.0899696132360042
124,2017-07-10,-0.26133305407635554
125,2017-07-11,0.5741748941176388
126,2017-07-12,-0.5112731308692832
127,2017-07-13,0.46738863713287787
128,2017-07-14,0.8298973679100967
129,2017-07-17,0.27790201568085293
130,2017-07-18,0.3902227297913716
131,2017-07-19,-0.0428906666281363
132,2017-07-20,0.5395959622632652
133,2017-07-21,0.851919460966534
134,2017-07-24,0.08298395657398064
135,2017-07-25,0.6683477501259342
136,2017-07-26,-0.38918385323954546
137,2017-07-27,0.6644057765126364
138,2017-07-28,-0.6771187152715656
139,2017-07-31,-0.6689952005955634
140,2017-08-01,-0.0567091273603123
141,2017-08-02,-0.10893160573643978
142,2017-08-03,0.9496312845875977
143,2017-08-04,0.05314830274467215
144,2017-08-07,0.816622662713048
145,2017-08-08,0.24468605599041662
146,2017-08-09,0.47777771038344385
147,2017-08-10,0.41337855245434557
148,2017-08-11,-0.3097568886286725
149,2017-08-14,0.7458462311849432
150,2017-08-15,0.49558201336990315
151,2017-08-16,0.08548251712796859
