,sec,average_profit
8633,8633,34803.75030479043
8634,8634,34803.76526085379
8635,8635,34803.78021691715
8636,8636,34803.79517298051
8637,8637,34803.81012904387
8638,8638,34803.82508510725
8639,8639,34803.84004117061
8640,8640,34803.85499723398
8641,8641,34803.86995329734
8642,8642,34803.8849093607
8643,8643,34803.89986542408
8644,8644,34803.91482148744
8645,8645,34803.929777550795
8646,8646,34803.94473361417
8647,8647,34803.95968967753
8648,8648,34803.974645740884
8649,8649,34803.98960180426
8650,8650,34804.004557867614
8651,8651,34804.01951393099
8652,8652,34804.034469994345
8653,8653,34804.04942605772
8654,8654,34804.06438212108
8655,8655,34804.07933818444
8656,8656,34804.0942942478
8657,8657,34804.10925031119
8658,8658,34804.12420637454
8659,8659,34804.1391624379
8660,8660,34804.15411850127
8661,8661,34804.169074564634
8662,8662,34804.18403062801
8663,8663,34804.198986691365
8664,8664,34804.21394275473
8665,8665,34804.228898818095
8666,8666,34804.24385488146
8667,8667,34804.25881094482
8668,8668,34804.27376700819
8669,8669,34804.28872307155
8670,8670,34804.303679134915
8671,8671,34804.31863519827
8672,8672,34804.33359126164
8673,8673,34804.34854732501
8674,8674,34804.36350338837
8675,8675,34804.378459451735
8676,8676,34804.393415515115
8677,8677,34804.40837157847
8678,8678,34804.42332764183
8679,8679,34804.4382837052
8680,8680,34804.45323976857
8681,8681,34804.46819583193
8682,8682,34804.483151895285
8683,8683,34804.49810795866
8684,8684,34804.51306402202
8685,8685,34804.52802008538
8686,8686,34804.54297614875
8687,8687,34804.55793221213
8688,8688,34804.57288827548
8689,8689,34804.58784433885
8690,8690,34804.60280040221
8691,8691,34804.61775646557
8692,8692,34804.63271252894
8693,8693,34804.647668592304
8694,8694,34804.66262465566
8695,8695,34804.677580719035
8696,8696,34804.69253678239
8697,8697,34804.70749284576
8698,8698,34804.72244890914
8699,8699,34804.7374049725
8700,8700,34804.752361035855
8701,8701,34804.76731709923
8702,8702,34804.782273162586
8703,8703,34804.79722922596
8704,8704,34804.81218528931
8705,8705,34804.827141352675
8706,8706,34804.84209741605
8707,8707,34804.8570534794
8708,8708,34804.87200954277
8709,8709,34804.88696560614
8710,8710,34804.9019216695
8711,8711,34804.91687773287
8712,8712,34804.93183379623
8713,8713,34804.9467898596
8714,8714,34804.96174592296
8715,8715,34804.97670198632
8716,8716,34804.991658049694
8717,8717,34805.00661411306
8718,8718,34805.02157017642
8719,8719,34805.03652623979
8720,8720,34805.051482303155
8721,8721,34805.066438366506
8722,8722,34805.08139442989
8723,8723,34805.09635049325
8724,8724,34805.11130655661
8725,8725,34805.126262619975
8726,8726,34805.14121868333
8727,8727,34805.1561747467
8728,8728,34805.171130810064
8729,8729,34805.18608687343
8730,8730,34805.20104293679
8731,8731,34805.21599900016
8732,8732,34805.230955063525
8733,8733,34805.2459111269
8734,8734,34805.260867190256
8735,8735,34805.27582325362
8736,8736,34805.29077931698
8737,8737,34805.30573538035
8738,8738,34805.32069144372
8739,8739,34805.33564750708
8740,8740,34805.35060357044
8741,8741,34805.365559633814
8742,8742,34805.380515697165
8743,8743,34805.395471760545
8744,8744,34805.41042782391
8745,8745,34805.42538388727
8746,8746,34805.44033995064
8747,8747,34805.455296014
8748,8748,34805.47025207736
8749,8749,34805.48520814073
8750,8750,34805.50016420409
8751,8751,34805.515120267446
8752,8752,34805.530076330826
8753,8753,34805.54503239418
8754,8754,34805.55998845755
8755,8755,34805.574944520915
8756,8756,34805.58990058428
8757,8757,34805.604856647646
8758,8758,34805.61981271101
8759,8759,34805.63476877438
8760,8760,34805.64972483774
8761,8761,34805.6646809011
8762,8762,34805.67963696447
8763,8763,34805.69459302783
8764,8764,34805.709549091196
8765,8765,34805.72450515457
8766,8766,34805.73946121793
8767,8767,34805.75441728129
8768,8768,34805.76937334466
8769,8769,34805.78432940803
8770,8770,34805.79928547138
8771,8771,34805.81424153475
8772,8772,34805.82919759811
8773,8773,34805.84415366148
8774,8774,34805.85910972484
8775,8775,34805.87406578821
8776,8776,34805.889021851566
8777,8777,34805.903977914946
8778,8778,34805.918933978304
8779,8779,34805.93389004168
8780,8780,34805.948846105035
8781,8781,34805.9638021684
8782,8782,34805.978758231766
8783,8783,34805.99371429513
8784,8784,34806.00867035849
8785,8785,34806.02362642186
8786,8786,34806.03858248522
8787,8787,34806.05353854858
8788,8788,34806.06849461195
8789,8789,34806.08345067531
8790,8790,34806.098406738674
8791,8791,34806.11336280204
8792,8792,34806.12831886541
8793,8793,34806.14327492878
8794,8794,34806.15823099213
8795,8795,34806.1731870555
8796,8796,34806.18814311887
8797,8797,34806.203099182225
8798,8798,34806.2180552456
8799,8799,34806.23301130897
8800,8800,34806.247967372336
8801,8801,34806.26292343569
8802,8802,34806.27787949906
8803,8803,34806.292835562424
8804,8804,34806.30779162579
8805,8805,34806.32274768915
8806,8806,34806.33770375251
8807,8807,34806.35265981587
8808,8808,34806.36761587923
8809,8809,34806.3825719426
8810,8810,34806.397528005975
8811,8811,34806.41248406934
8812,8812,34806.427440132706
8813,8813,34806.442396196064
8814,8814,34806.45735225943
8815,8815,34806.4723083228
8816,8816,34806.48726438616
8817,8817,34806.502220449525
8818,8818,34806.5171765129
8819,8819,34806.53213257626
8820,8820,34806.547088639614
8821,8821,34806.56204470299
8822,8822,34806.57700076635
8823,8823,34806.591956829725
8824,8824,34806.606912893076
8825,8825,34806.62186895645
8826,8826,34806.63682501981
8827,8827,34806.651781083165
8828,8828,34806.66673714654
8829,8829,34806.6816932099
8830,8830,34806.69664927327
8831,8831,34806.711605336626
8832,8832,34806.72656139999
8833,8833,34806.74151746335
8834,8834,34806.75647352673
8835,8835,34806.77142959009
8836,8836,34806.78638565346
8837,8837,34806.80134171682
8838,8838,34806.81629778019
8839,8839,34806.83125384355
8840,8840,34806.846209906915
8841,8841,34806.86116597028
8842,8842,34806.876122033646
8843,8843,34806.891078097
8844,8844,34806.906034160376
8845,8845,34806.92099022375
8846,8846,34806.93594628711
8847,8847,34806.950902350465
8848,8848,34806.96585841383
8849,8849,34806.980814477196
8850,8850,34806.995770540554
8851,8851,34807.01072660393
8852,8852,34807.025682667285
8853,8853,34807.04063873065
8854,8854,34807.055594794
8855,8855,34807.07055085739
8856,8856,34807.085506920754
8857,8857,34807.10046298412
8858,8858,34807.115419047484
8859,8859,34807.13037511085
8860,8860,34807.14533117421
8861,8861,34807.16028723757
8862,8862,34807.17524330093
8863,8863,34807.1901993643
8864,8864,34807.20515542766
8865,8865,34807.22011149104
8866,8866,34807.23506755439
8867,8867,34807.250023617766
8868,8868,34807.26497968113
8869,8869,34807.27993574448
8870,8870,34807.29489180785
8871,8871,34807.30984787122
8872,8872,34807.324803934585
8873,8873,34807.33975999794
8874,8874,34807.35471606131
8875,8875,34807.36967212467
8876,8876,34807.38462818805
8877,8877,34807.399584251405
8878,8878,34807.41454031478
8879,8879,34807.42949637814
8880,8880,34807.4444524415
8881,8881,34807.45940850487
8882,8882,34807.47436456823
8883,8883,34807.4893206316
8884,8884,34807.50427669496
8885,8885,34807.51923275832
8886,8886,34807.53418882169
8887,8887,34807.54914488505
8888,8888,34807.56410094841
8889,8889,34807.57905701178
8890,8890,34807.59401307514
8891,8891,34807.60896913851
8892,8892,34807.62392520188
8893,8893,34807.63888126524
8894,8894,34807.6538373286
8895,8895,34807.668793391975
8896,8896,34807.68374945533
8897,8897,34807.6987055187
8898,8898,34807.713661582064
8899,8899,34807.72861764542
8900,8900,34807.743573708794
8901,8901,34807.75852977217
8902,8902,34807.77348583552
8903,8903,34807.78844189889
8904,8904,34807.803397962256
8905,8905,34807.81835402563
8906,8906,34807.83331008898
8907,8907,34807.84826615235
8908,8908,34807.86322221571
8909,8909,34807.87817827907
8910,8910,34807.89313434243
8911,8911,34807.90809040581
8912,8912,34807.92304646917
8913,8913,34807.93800253253
8914,8914,34807.9529585959
8915,8915,34807.96791465926
8916,8916,34807.98287072263
