,sec,average_accu_orders
12665,12665,20872.97079149394
12666,12666,20873.726238630985
12667,12667,20874.2943191118
12668,12668,20876.070321488143
12669,12669,20878.309776350492
12670,12670,20879.13369413732
12671,12671,20880.477406057034
12672,12672,20881.08511039287
12673,12673,20883.085224931365
12674,12674,20885.20914852415
12675,12675,20886.201624706562
12676,12676,20888.532598793612
12677,12677,20890.18966382745
12678,12678,20894.01756253679
12679,12679,20897.937939207397
12680,12680,20899.353532377645
12681,12681,20900.778458177283
12682,12682,20901.369433272055
12683,12683,20902.293698928992
12684,12684,20903.026004955558
12685,12685,20903.81105557166
12686,12686,20904.298420223415
12687,12687,20904.877926674286
12688,12688,20905.50228404548
12689,12689,20905.959811139906
12690,12690,20906.970293001403
12691,12691,20907.806149920005
12692,12692,20908.65412163689
12693,12693,20909.948821160862
12694,12694,20911.12414465275
12695,12695,20912.639566219877
12696,12696,20914.679672407987
12697,12697,20916.583945688468
12698,12698,20920.080761624737
12699,12699,20921.47341138907
12700,12700,20924.027669072624
12701,12701,20927.639658662618
12702,12702,20930.0375694175
12703,12703,20931.903801915574
12704,12704,20934.665501087355
12705,12705,20936.17517887338
12706,12706,20938.331634502007
12707,12707,20940.59007933525
12708,12708,20941.947158532057
12709,12709,20942.864971039377
12710,12710,20943.81788236467
12711,12711,20946.195023667668
12712,12712,20947.194638719233
12713,12713,20948.564386456215
12714,12714,20951.645875765702
12715,12715,20953.200034774003
12716,12716,20955.185850436323
12717,12717,20956.8878239584
12718,12718,20958.229995369355
12719,12719,20959.00000875302
12720,12720,20960.971761763383
12721,12721,20962.62360574769
12722,12722,20964.274159710923
12723,12723,20965.566087657735
12724,12724,20967.14978428101
12725,12725,20968.29770964875
12726,12726,20969.295270539158
12727,12727,20970.813627001604
12728,12728,20972.146244861957
12729,12729,20973.012418882463
12730,12730,20974.94092792277
12731,12731,20977.30608657313
12732,12732,20979.971396805104
12733,12733,20982.466221202074
12734,12734,20984.696201392395
12735,12735,20987.1507162359
12736,12736,20988.793000177462
12737,12737,20990.068338504752
12738,12738,20991.727616030854
12739,12739,20994.348473197093
12740,12740,20995.626641464652
12741,12741,20996.649270849295
12742,12742,20997.953192894056
12743,12743,20999.669100363386
12744,12744,21001.376703857495
12745,12745,21003.861021563207
12746,12746,21005.604204773736
12747,12747,21008.03128169006
12748,12748,21010.860882443376
12749,12749,21012.190047636235
12750,12750,21013.860861464276
12751,12751,21015.126506070872
12752,12752,21016.436341080986
12753,12753,21018.785343863787
12754,12754,21020.06603898638
12755,12755,21020.52153569171
12756,12756,21021.129846736625
12757,12757,21021.630314082096
12758,12758,21022.976738386613
12759,12759,21024.15196869182
12760,12760,21025.404465198433
12761,12761,21026.734223760533
12762,12762,21027.72427900384
12763,12763,21029.466176588965
12764,12764,21030.827632499204
12765,12765,21032.212615615463
12766,12766,21034.340270250148
12767,12767,21035.37491306753
12768,12768,21036.474424473738
12769,12769,21037.225125395937
12770,12770,21039.10556644938
12771,12771,21039.819222368762
12772,12772,21040.62835781617
12773,12773,21041.92068252521
12774,12774,21043.16617550302
12775,12775,21044.52466734183
12776,12776,21045.87889436713
12777,12777,21046.3206432871
12778,12778,21047.387701854288
12779,12779,21049.455172701048
12780,12780,21050.43265803305
12781,12781,21051.42647973467
12782,12782,21053.093130168578
12783,12783,21054.426343228417
12784,12784,21055.450775698835
12785,12785,21056.73496231016
12786,12786,21058.16783798168
12787,12787,21059.75238022625
12788,12788,21062.259409248367
12789,12789,21063.985608107465
12790,12790,21065.56630041788
12791,12791,21066.602450782586
12792,12792,21067.078148908564
12793,12793,21068.989012186426
12794,12794,21070.37108593403
12795,12795,21072.98931419088
12796,12796,21076.071163456127
12797,12797,21078.537573721904
12798,12798,21080.036283932797
12799,12799,21081.741361201184
12800,12800,21084.111919372637
12801,12801,21084.891041434126
12802,12802,21086.357331441955
12803,12803,21087.802576205253
12804,12804,21090.203862306713
12805,12805,21092.886049166467
12806,12806,21094.787237748682
12807,12807,21097.034225217936
12808,12808,21098.04016080768
12809,12809,21098.92724785287
12810,12810,21100.26274888931
12811,12811,21101.595068488306
12812,12812,21102.98320915205
12813,12813,21104.5111390452
12814,12814,21106.00475118104
12815,12815,21106.655725566183
12816,12816,21108.275322484093
12817,12817,21109.94597841872
12818,12818,21112.121416740083
12819,12819,21113.23006448611
12820,12820,21114.131637354923
12821,12821,21115.787246735876
12822,12822,21117.58137736994
12823,12823,21119.52189836385
12824,12824,21120.443714640587
12825,12825,21122.036926493896
12826,12826,21124.1537205921
12827,12827,21126.440545566482
12828,12828,21129.213921060633
12829,12829,21130.056933095526
12830,12830,21131.85055425792
12831,12831,21133.641574174457
12832,12832,21136.06970949984
12833,12833,21138.955623969814
12834,12834,21140.337766396504
12835,12835,21141.781870639203
12836,12836,21143.601838841867
12837,12837,21145.089622132524
12838,12838,21146.118398316117
12839,12839,21146.804056599343
12840,12840,21147.77109035279
12841,12841,21148.928456911282
12842,12842,21150.163184680663
12843,12843,21151.486780824038
12844,12844,21152.426539180826
12845,12845,21154.53633935952
12846,12846,21156.38917309894
12847,12847,21157.12212606906
12848,12848,21158.05375050048
12849,12849,21160.162231363254
12850,12850,21163.181106589607
12851,12851,21165.16879896466
12852,12852,21166.228110778058
12853,12853,21168.358725810478
12854,12854,21170.92229421714
12855,12855,21172.317189803707
12856,12856,21174.514634444557
12857,12857,21176.41860901548
12858,12858,21177.830063236936
12859,12859,21178.900480917226
12860,12860,21179.599732353538
12861,12861,21180.281496501186
12862,12862,21181.05682665969
12863,12863,21181.449202449716
12864,12864,21183.78510237681
12865,12865,21185.712892487947
12866,12866,21187.04403217646
12867,12867,21187.75094790152
12868,12868,21188.548440962983
12869,12869,21190.200589986198
12870,12870,21191.069135641967
12871,12871,21191.509886090833
12872,12872,21192.083569256854
12873,12873,21193.571816564283
12874,12874,21194.31424912148
12875,12875,21194.702552676506
12876,12876,21195.6667546119
12877,12877,21197.315852929092
12878,12878,21199.214342771993
12879,12879,21200.120276607606
12880,12880,21201.067691324803
12881,12881,21202.01363401755
12882,12882,21203.051546484367
12883,12883,21203.826635060912
12884,12884,21204.33125211637
12885,12885,21205.552614674114
12886,12886,21206.16410586
12887,12887,21207.25412532881
12888,12888,21208.801796565
12889,12889,21209.540771196753
12890,12890,21210.133782566718
12891,12891,21210.906724319066
12892,12892,21212.39657803482
12893,12893,21213.777689563678
12894,12894,21215.08619059682
12895,12895,21216.180107545624
12896,12896,21216.85979465107
12897,12897,21217.49049103837
12898,12898,21218.556743171768
12899,12899,21220.490341843448
12900,12900,21221.375976179974
12901,12901,21223.06644088835
12902,12902,21223.917340992433
12903,12903,21226.35173507472
