,optionCode,callorput,maturityDate,multi,netPositionToday,deltaToday,gammaToday,vegaToday,thetaToday,closingPriceTodayUnderlyer,volToday,deltaNotionalToday,deltaSensOfVolToday,vegaNotionalToday,gammaNotionalToday,thetaNotionalToday,rohToday,robToday,rhoNotionalToday,robNotionalToday,brBase,BR,RF,StrategyID
76,10000896.0,0.0,737056.0,10185.0,30.0,-0.06817,0.391715,0.000993381,-0.311958,2.8458,0.444404,-20829.343499999995,-0.4055912725164923,303.52756455,119688.51825000001,-95318.76690000002,-0.0119479,-0.0109465,-10.001865328767122,-9.16357006849315,0.0704624,0.0249202,0.03,6.0
77,10000897.0,1.0,737056.0,10185.0,90.0,0.92804,0.235027,0.00101616,-0.538596,2.8458,0.757662,850687.866,-0.22586892471365694,931.4630639999999,215437.49955000004,-493704.02339999995,0.151829,-0.0483381,381.29877493150684,-121.39484757534247,0.0704624,0.0249202,0.03,6.0
78,10000898.0,0.0,737056.0,10185.0,-90.0,-0.0702058,0.235027,0.00101616,-0.544726,2.8458,0.757662,64354.14657,-0.22586892471365694,-931.4630639999999,-215437.49955000004,499323.0879000001,-4.81439e-05,-4.54234e-05,0.12090713954794521,0.11407495783561646,0.0704624,0.0249202,0.03,6.0
79,10000983.0,1.0,737056.0,10185.0,60.0,0.645674,2.65393,0.0028023,-0.374791,2.8458,0.185036,394571.3814,-0.6564247784546229,1712.4855300000002,1621816.623,-229034.78009999997,-0.172037,-0.295266,-288.03235808219176,-494.3480893150685,0.0704624,0.0249202,0.03,6.0
80,10000899.0,1.0,737056.0,10185.0,60.0,0.928001,0.453788,0.00101659,-0.284589,2.8458,0.392577,567101.4111,-0.46923221150518835,621.238149,277309.8468,-173912.33789999998,0.147073,-0.0507464,246.2364665753425,-84.9619864109589,0.0704624,0.0249202,0.03,6.0
81,10001037.0,1.0,737056.0,10185.0,0.0,0.373902,2.67546,0.0028584,-0.384081,2.8458,0.187222,0.0,0.7464374619831071,0.0,0.0,0.0,-0.21484,-0.297107,0.0,0.0,0.0704624,0.0249202,0.03,6.0
82,10000900.0,0.0,737056.0,10185.0,-60.0,-0.0702445,0.453788,0.00101659,-0.281888,2.8458,0.392577,42926.41395,-0.46923221150518835,-621.238149,-277309.8468,172261.7568,-0.0255469,-0.0231962,42.77180983561644,38.8361584109589,0.0704624,0.0249202,0.03,6.0
83,10001072.0,0.0,737238.0,10185.0,0.0,-0.737173,0.757399,0.00691538,-0.0269898,2.8458,0.20312,0.0,1.2617272298287574,0.0,0.0,0.0,-2.06901,-0.985707,0.0,0.0,0.555048,0.0,0.0400664,6.0
84,10000916.0,0.0,737056.0,10185.0,-40.0,-0.074424,0.538066,0.00106261,-0.259603,2.8458,0.346076,30320.3376,-0.5490459750057131,-432.90731400000004,-219208.08840000004,105762.2622,-0.0485041,-0.0435875,54.13854887671233,48.65081506849315,0.0704624,0.0249202,0.03,6.0
85,10001010.0,0.0,737147.0,10185.0,0.0,-0.441528,1.31912,0.00627464,-0.143939,2.8458,0.18817,0.0,-0.08791198940372169,0.0,0.0,0.0,-1.06726,-0.672944,0.0,0.0,0.312138,0.0,0.0331892,6.0
