,date,timestamp,spot_price,id,OptionPrice,BidPrice,AskPrice,Sigma,BidSigma,AskSigma,Delta,Vega,Gamma,Theta,Rho,RhoB,Risk_free_rate,Borrow_rate,time2expiry,Delta_time_decay,Delta_time,strike,Z,type,expiry,etf_price,tomorrow_bid1,tomorrow_delta,tomorrow_delta_cost,tomorrow_vega,tomorrow_vega_cost,volume
21,2017-12-13,2017-12-13 14:56:10,2.8803,10001126,0.00287089,0.0028,0.003,0.159606,0.158674,0.161275,-0.0710051,0.0007652819999999999,1.50721,-0.164104,-0.162118,-0.14331,0.03,0.054086300000000004,0.038346,-0.115773,-2.89153,2.75,-0.926759,0,20171227,2.8735,0.0033,-0.0864192,-0.0,0.0008455180000000001,8.12998076923077e-05,-152.6514
22,2017-12-13,2017-12-13 14:56:10,2.8803,10000960,0.00115365,0.0013,0.0014,0.174544,0.178234,0.180614,-0.029901099999999996,0.00038259,0.689017,-0.0891133,-0.103592,-0.09341669999999999,0.03,0.054086300000000004,0.038346,-0.0716429,-2.69605,2.7,-1.3015700000000001,0,20171227,2.8735,0.0013,-0.0347784,-0.0,0.000412581,3.9671250000000004e-05,-152.6514
23,2017-12-13,2017-12-13 14:56:10,2.8803,10001126,0.00287089,0.0028,0.003,0.159606,0.158674,0.161275,-0.0710051,0.0007652819999999999,1.50721,-0.164104,-0.162118,-0.14331,0.03,0.054086300000000004,0.038346,-0.115773,-2.89153,2.75,-0.926759,0,20171227,2.8735,0.0033,-0.0864192,-0.0,0.0008455180000000001,8.12998076923077e-05,-152.6514
24,2017-12-14,2017-12-14 14:56:00,2.8594,10000960,0.00125371,0.0013,0.0014,0.16783199999999998,0.168943,0.171265,-0.0347784,0.00041258099999999997,0.852784,-0.100112,-0.111473,-0.100491,0.03,0.049602099999999996,0.035256800000000005,-0.07996139999999999,-3.0634,2.7,-1.2072100000000001,0,20171227,2.85,0.0015,-0.0557472,-0.0,0.00057059,5.4864423076923086e-05,-133.6533
25,2017-12-14,2017-12-14 14:56:00,2.8594,10001126,0.00326975,0.0033,0.0034,0.151398,0.151755,0.152925,-0.0864192,0.0008455180000000001,1.93735,-0.18628499999999998,-0.170972,-0.150803,0.03,0.049602099999999996,0.035256800000000005,-0.13122799999999998,-3.03802,2.75,-0.816321,0,20171227,2.85,0.0058,-0.147583,-0.0,0.00117013,0.0001125125,-133.6533
26,2017-12-14,2017-12-14 14:56:00,2.8594,10000960,0.00125371,0.0013,0.0014,0.16783199999999998,0.168943,0.171265,-0.0347784,0.00041258099999999997,0.852784,-0.100112,-0.111473,-0.100491,0.03,0.049602099999999996,0.035256800000000005,-0.07996139999999999,-3.0634,2.7,-1.2072100000000001,0,20171227,2.85,0.0015,-0.0557472,-0.0,0.00057059,5.4864423076923086e-05,-133.6533
27,2017-12-15,2017-12-15 14:56:16,2.8312,10000960,0.0019771,0.0015,0.0017,0.162331,0.153347,0.157279,-0.0557472,0.00057059,1.36333,-0.15165399999999998,-0.130689,-0.11726500000000001,0.03,0.0789691,0.03216479999999998,-0.106926,-3.65224,2.7,-1.02314,0,20171227,2.8215,0.0009,-0.0355457,-0.0,0.000354057,3.404394230769231e-05,-85.3248
28,2017-12-15,2017-12-15 14:56:16,2.8312,10000960,0.0019771,0.0015,0.0017,0.162331,0.153347,0.157279,-0.0557472,0.00057059,1.36333,-0.15165399999999998,-0.130689,-0.11726500000000001,0.03,0.0789691,0.03216479999999998,-0.106926,-3.65224,2.7,-1.02314,0,20171227,2.8215,0.0009,-0.0355457,-0.0,0.000354057,3.404394230769231e-05,-85.3248
29,2017-12-15,2017-12-15 14:56:16,2.8312,10001126,0.00582293,0.0058,0.006,0.148729,0.148533,0.15023499999999998,-0.147583,0.00117013,3.05151,-0.290819,-0.18949100000000002,-0.165675,0.03,0.0789691,0.03216479999999998,-0.190775,-3.08223,2.75,-0.613891,0,20171227,2.8215,0.0031,-0.101268,-0.0,0.000801066,7.702557692307693e-05,-85.3248
30,2017-12-18,2017-12-18 14:56:10,2.8426,10000960,0.00109772,0.0009,0.001,0.17019,0.164278,0.167354,-0.0355457,0.00035405699999999996,1.01498,-0.130524,-0.0914627,-0.08372439999999999,0.03,0.14660399999999998,0.025365900000000004,-0.0811251,-4.76267,2.7,-1.21832,0,20171227,2.8275,0.0004,-0.0163449,-0.0,0.000175366,1.6862115384615384e-05,-21.9978
