,date,tomorrow_bid1,OptionPrice,tomorrow_delta_cost,tomorrow_vega_cost,volume,profit,cum_profit
48,2017-12-26,0.0249,0.00126616,-0.0,-5.806096153846156e-10,-144.2,3.407999644276093,4.133254550457937
49,2017-12-26,0.0,0.000108639,-0.0,-1.5317923076923078e-09,-30.9,-0.0033569924323823075,4.129897558025554
50,2017-12-26,0.0001,2.74634e-05,-0.0,-8.647538461538463e-18,-30.9,0.0022413809399997333,4.1321389389655545
51,2017-12-27,,0.00010019,,,-140.0,,
52,2017-12-27,,0.027654400000000003,,,-30.0,,
53,2017-12-27,,0.00010019,,,-30.0,,
54,2017-12-28,0.0021,0.00355732,-0.0,-1.3044903846153847e-07,-448.0,-0.6529378011692308,3.4792011377963235
55,2017-12-29,0.0009,0.0018204,-0.0,-6.457326923076924e-08,-380.1,-0.34986858429963463,3.1293325534966887
56,2017-12-29,0.0009,0.0018204,-0.0,-6.457326923076924e-08,-162.9,-0.1499436789855577,2.979388874511131
57,2018-01-02,0.0019,0.00212534,-0.0,-1.3051557692307697e-07,-236.6,-0.05334632398549997,2.926042550525631
58,2018-01-02,0.0009,0.0007857160000000001,-0.0,-6.821596153846157e-08,-50.7,0.005790740250749994,2.9318332907763813
59,2018-01-02,0.0009,0.0007857160000000001,-0.0,-6.821596153846157e-08,-50.7,0.005790740250749994,2.9376240310271315
60,2018-01-03,0.0015,0.00206199,-0.0,-1.1401865384615385e-07,-206.5,-0.11607447985201923,2.8215495511751123
61,2018-01-03,0.0015,0.00206199,-0.0,-1.1401865384615385e-07,-44.25,-0.024873102825432692,2.7966764483496798
62,2018-01-03,0.0007,0.000906611,-0.0,-5.889134615384617e-08,-44.25,-0.009145142692067306,2.7875313056576125
63,2018-01-04,0.0012,0.00173027,-0.0,-8.154615384615384e-08,-119.7,-0.0634830800746154,2.724048225582997
64,2018-01-04,0.0012,0.00173027,-0.0,-8.154615384615384e-08,-25.65,-0.013603517158846154,2.7104447084241508
65,2018-01-04,0.0012,0.00173027,-0.0,-8.154615384615384e-08,-25.65,-0.013603517158846154,2.6968411912653045
66,2018-01-05,0.0022,0.0031836,-0.0,-1.3054653846153846e-07,-429.1,-0.42211877751965377,2.2747224137456508
67,2018-01-05,0.0009,0.00109687,-0.0,-5.3033846153846165e-08,-91.95,-0.018107072962153848,2.256615340783497
68,2018-01-05,0.0009,0.00109687,-0.0,-5.3033846153846165e-08,-91.95,-0.018107072962153848,2.2385082678213433
69,2018-01-08,0.0011,0.00219101,-0.0,-7.68923076923077e-08,-407.4,-0.44450879992615383,1.7939994678951894
70,2018-01-08,0.0011,0.00219101,-0.0,-7.68923076923077e-08,-87.3,-0.09525188569846155,1.6987475821967277
71,2018-01-08,0.0006,0.000651941,-0.0,-3.213326923076923e-08,-87.3,-0.004537254534403847,1.694210327662324
72,2018-01-09,0.0008,0.0010694,-0.0,-5.904750000000001e-08,-470.4,-0.12675353594400002,1.567456791718324
73,2018-01-09,0.0008,0.0010694,-0.0,-5.904750000000001e-08,-100.8,-0.027161471988,1.540295319730324
