,date,timestamp,spot_price,id,OptionPrice,BidPrice,AskPrice,Sigma,BidSigma,AskSigma,Delta,Vega,Gamma,Theta,Rho,RhoB,Risk_free_rate,Borrow_rate,time2expiry,Delta_time_decay,Delta_time,strike,Z,type,expiry,etf_price,tomorrow_bid1,volume
39,2018-01-26,2018-01-26 14:56:11,3.1782,10001161,0.00743531,0.0077,0.0078,0.16778900000000002,0.16942100000000002,0.170031,-0.0999158,0.00161031,1.1385100000000001,-0.149168,-0.300848,-0.250653,0.0391204,0.0,0.083454,-0.135424,-0.850234,3.0,-0.8441790000000001,0,20180228,3.1715,0.0153,-325.0
40,2018-01-29,2018-01-29 14:56:10,3.1332,10001150,0.00756332,0.0073,0.0074,0.171811,0.17011600000000002,0.170763,-0.104109,0.00156599,1.2112100000000001,-0.18218199999999998,-0.280656,-0.235465,0.03,0.0511913,0.0766553,-0.148917,-1.2006700000000001,2.95,-0.84698,0,20180228,3.1145,0.009000000000000001,-433.0
41,2018-01-30,2018-01-30 14:56:07,3.0955,10001149,0.00429959,0.0041,0.0042,0.161025,0.159242,0.160141,-0.0705195,0.00113263,0.997825,-0.129768,-0.248275,-0.21045100000000005,0.03,0.05721030000000001,0.0735662,-0.11953499999999999,-1.3398,2.9,-0.932591,0,20180228,3.0775,0.003,-326.0
42,2018-01-31,2018-01-31 14:56:13,3.1297,10001150,0.00631515,0.0061,0.0062,0.168323,0.166773,0.167497,-0.09460980000000001,0.00139869,1.20373,-0.173375,-0.26198699999999997,-0.221602,0.03,0.0520702,0.07047619999999999,-0.143502,-1.3638299999999999,2.95,-0.8675290000000001,0,20180228,3.1135,0.0039,-304.0
43,2018-02-01,2018-02-01 14:56:15,3.1475,10001161,0.00883529,0.0091,0.0092,0.161944,0.163464,0.16403299999999998,-0.13062200000000002,0.00173214,1.60219,-0.21853699999999998,-0.296053,-0.247873,0.03,0.05594690000000002,0.0673866,-0.17672100000000002,-1.31282,3.0,-0.712629,0,20180228,3.1355,0.0074,-209.0
44,2018-02-02,2018-02-02 14:56:15,3.1626,10001161,0.00738148,0.0074,0.0076,0.167579,0.1677,0.169008,-0.111329,0.00151928,1.40973,-0.208511,-0.267623,-0.226663,0.03,0.060523099999999996,0.0642972,-0.163503,-1.51757,3.0,-0.801669,0,20180228,3.1435,0.005,-295.0
45,2018-02-05,2018-02-05 14:56:03,3.198,10001161,0.00486433,0.005,0.0051,0.183948,0.185184,0.186085,-0.0755077,0.00109025,1.0078799999999999,-0.181074,-0.19908199999999998,-0.172978,0.03,0.0582784,0.057499699999999994,-0.130905,-1.85045,3.0,-1.03903,0,20180228,3.1775,0.0232,-498.0
46,2018-02-06,2018-02-06 14:56:08,3.1073,10001150,0.0130815,0.0131,0.0132,0.225627,0.225737,0.22632600000000005,-0.150633,0.00169437,1.42946,-0.341878,-0.2164510000000001,-0.187047,0.03,0.010685700000000001,0.05440980000000002,-0.201648,-1.74695,2.95,-0.908857,0,20180228,3.1055,0.0331,-481.0
47,2018-02-07,2018-02-07 14:56:14,3.0275,10001148,0.011222,0.0109,0.011000000000000001,0.2436780000000001,0.2414530000000001,0.242146,-0.13065,0.00145521,1.26957,-0.345018,-0.171713,-0.150527,0.03,0.0296778,0.0513197,-0.187775,-2.0066900000000003,2.85,-1.0671,0,20180228,3.022,0.0281,-856.0
48,2018-02-08,2018-02-08 14:56:06,2.9544,10001147,0.0170713,0.0172,0.0176,0.26600799999999997,0.26677,0.26912600000000003,-0.177853,0.00168787,1.50722,-0.48179099999999997,-0.184139,-0.16080999999999998,0.03,0.0620747,0.048231199999999995,-0.240898,-2.2732099999999997,2.8,-0.949457,0,20180228,2.9405,0.0959,-731.0
